,,,,,,Scoring,,,,,Goals,,,,Assists,,,,,Ice Time,,,,,,
Rk,Player,Age,Pos,Tm,GP,G,A,PTS,+/-,PIM,EV,PP,SH,GW,EV,PP,SH,S,S%,TOI,ATOI,BLK,HIT,FOW,FOL,FO%
192,Alex Killorn\killoal01,27,LW,TBL,73,17,15,32,-11,62,13,3,1,3,9,6,0,160,10.6,1323,18:08,22,85,4,7,36.4
193,Nick Bonino\boninni01,28,C,PIT,73,16,16,32,-4,16,10,5,1,1,12,4,0,132,12.1,1207,16:32,93,55,524,572,47.8
194,Zack Smith\smithza01,28,C,OTT,71,16,16,32,6,61,11,1,4,1,16,0,0,133,12.0,1177,16:34,35,138,308,282,52.2
195,Andrew Cogliano\coglian01,29,LW,ANA,74,15,17,32,8,26,12,0,3,1,16,0,1,161,9.3,1130,15:16,25,64,7,10,41.2
196,Brian Gionta\giontbr01,38,RW,BUF,74,14,18,32,-8,22,11,2,1,2,14,4,0,135,10.4,1238,16:44,27,48,44,56,44.0
197,Brayden Point\pointbr01,20,C,TBL,60,13,19,32,0,14,9,4,0,1,13,6,0,103,12.6,999,16:39,27,30,178,216,45.2
198,Reilly Smith\smithre01,25,RW,FLA,71,12,20,32,-12,13,5,6,1,3,16,4,0,147,8.2,1323,18:38,30,67,3,3,50.0
199,Dustin Brown\browndu01,32,RW,LAK,71,11,21,32,-5,20,6,4,1,1,19,2,0,156,7.1,1133,15:58,28,180,2,3,40.0
200,Mike Green\greenmi03,31,D,DET,63,11,21,32,-17,38,9,2,0,2,15,6,0,107,10.3,1485,23:34,79,56,0,0,
201,Nick Holden\holdeni01,29,D,NYR,74,10,22,32,14,31,8,2,0,2,20,1,1,75,13.3,1532,20:42,79,150,0,1,0.0
202,Andrei Markov\markoan01,38,D,MTL,55,4,28,32,11,16,4,0,0,0,17,10,1,83,4.8,1196,21:45,62,32,0,0,
203,Colton Parayko\parayco01,23,D,STL,72,4,28,32,3,24,0,4,0,2,21,6,1,167,2.4,1518,21:05,106,71,0,0,
204,Patrik Berglund\berglpa01,28,C,STL,73,21,10,31,-5,26,18,3,0,4,7,3,0,139,15.1,1154,15:49,39,145,506,501,50.2
205,Connor Brown\brownco02,23,RW,TOR,73,17,14,31,3,10,14,2,1,3,11,3,0,122,13.9,1181,16:10,46,47,1,4,20.0
206,Brandon Sutter\suttebr03,27,C,VAN,72,17,14,31,-18,10,13,4,0,1,11,3,0,143,11.9,1363,18:56,47,69,707,590,54.5
207,Ryan Dzingel\dzingry01,24,LW,OTT,73,14,17,31,7,28,12,1,1,1,15,2,0,114,12.3,1054,14:26,20,66,7,20,25.9
208,Justin Faulk\faulkju01,24,D,CAR,65,14,17,31,-13,28,11,3,0,2,10,7,0,184,7.6,1500,23:05,76,101,0,0,
209,Tyler Toffoli\toffoty01,24,C,LAK,54,14,17,31,4,20,11,3,0,2,13,3,1,141,9.9,911,16:52,4,53,2,3,40.0
210,Colin Wilson\wilsoco01,27,LW,NSH,63,12,19,31,6,18,6,6,0,0,18,1,0,106,11.3,942,14:57,23,47,14,22,38.9
211,Andre Burakovsky\burakan01,21,LW,WSH,55,11,20,31,17,12,9,2,0,1,18,2,0,97,11.3,738,13:25,24,31,2,4,33.3
212,Radek Faksa\faksara01,23,C,DAL,72,11,20,31,-5,65,11,0,0,0,18,2,0,119,9.2,1170,16:15,58,92,549,583,48.5
213,Jared Spurgeon\spurgja01,27,D,MIN,69,8,23,31,31,20,7,1,0,2,18,4,1,131,6.1,1683,24:24,131,44,0,0,
214,Shayne Gostisbehere\gostish01,23,D,PHI,67,6,25,31,-24,26,4,2,0,1,7,18,0,169,3.6,1308,19:32,84,29,0,0,
215,Dmitry Orlov\orlovdm01,25,D,WSH,73,6,25,31,29,47,5,1,0,0,20,5,0,107,5.6,1421,19:28,86,114,0,0,
216,Jaccob Slavin\slavija01,22,D,CAR,72,5,26,31,20,12,4,0,1,0,19,4,3,89,5.6,1686,23:25,147,26,0,0,
217,Damon Severson\severda01,22,D,NJD,72,3,28,31,-26,51,3,0,0,1,15,13,0,110,2.7,1479,20:33,68,68,0,0,
218,Boone Jenner\jennebo01,23,C,CBJ,73,16,14,30,12,41,14,0,2,4,13,1,0,188,8.5,1173,16:04,72,189,77,71,52.0
219,Ryan Strome\stromry01,23,RW,NYI,69,13,17,30,-8,40,11,2,0,2,11,6,0,114,11.4,1008,14:36,21,59,147,197,42.7
220,Oscar Klefbom\klefbos01,23,D,EDM,74,12,18,30,4,6,9,3,0,3,10,8,0,184,6.5,1642,22:11,130,38,0,0,
221,Mike Cammalleri\cammami01,34,LW,NJD,55,10,20,30,-4,21,9,1,0,3,11,9,0,123,8.1,962,17:30,14,35,16,10,61.5
222,Mathew Dumba\dumbama01,22,D,MIN,67,10,20,30,16,57,5,5,0,1,14,5,1,114,8.8,1359,20:17,67,86,0,0,
223,Dion Phaneuf\phanedi01,31,D,OTT,73,9,21,30,-4,98,4,4,1,2,9,12,0,143,6.3,1682,23:02,143,116,0,0,
224,T.J. Brodie\broditj01,26,D,CGY,74,6,24,30,-19,22,4,1,1,2,15,8,1,75,8.0,1751,23:40,105,27,0,0,
225,Alex Goligoski\goligal01,31,D,ARI,74,5,25,30,-6,24,4,0,1,0,19,5,1,99,5.1,1725,23:18,137,126,0,0,
226,Ryan Hartman\hartmry01,22,LW,CHI,69,18,11,29,13,64,17,1,0,4,11,0,0,153,11.8,877,12:42,29,113,23,33,41.1
227,Jason Chimera\chimeja01,37,LW,NYI,73,17,12,29,3,33,16,0,1,1,12,0,0,111,15.3,950,13:01,29,137,15,18,45.5
228,Calle Jarnkrok\jarnkca01,25,C,NSH,73,15,14,29,-3,23,12,2,1,1,10,2,2,121,12.4,1145,15:41,25,46,400,414,49.1
229,Gabriel Landeskog\landega01,24,LW,COL,63,15,14,29,-21,58,10,5,0,2,13,1,0,139,10.8,1195,18:58,32,127,61,61,50.0
230,Matt Moulson\moulsma01,33,LW,BUF,74,14,15,29,-1,8,3,11,0,2,9,6,0,127,11.0,855,11:33,18,36,1,3,25.0
231,Kris Versteeg\verstkr01,30,RW,CGY,62,13,16,29,-1,44,7,6,0,1,11,5,0,119,10.9,916,14:46,27,5,42,40,51.2
232,Robby Fabbri\fabbrro01,21,C,STL,51,11,18,29,-16,27,7,4,0,0,13,5,0,91,12.1,796,15:37,14,64,13,11,54.2
233,Devin Shore\shorede01,22,C,DAL,74,11,18,29,-6,12,10,1,0,0,14,4,0,98,11.2,1028,13:54,64,36,219,245,47.2
234,Mika Zibanejad\zibanmi01,23,C,NYR,48,11,18,29,9,12,9,2,0,2,12,6,0,102,10.8,821,17:06,21,20,429,394,52.1
235,Andrew Ladd\laddan01,31,LW,NYI,69,20,8,28,-13,39,17,2,1,4,6,2,0,129,15.5,1108,16:03,50,94,2,4,33.3
236,Christian Dvorak\dvorach01,20,LW,ARI,70,12,16,28,8,20,11,1,0,0,14,2,0,81,14.8,1084,15:29,52,62,412,476,46.4
237,Leo Komarov\komarle01,30,C,TOR,73,12,16,28,3,27,7,4,1,1,11,5,0,103,11.7,1248,17:06,43,208,81,98,45.3
238,Andrew Shaw\shawan01,25,C,MTL,60,11,17,28,5,103,10,1,0,1,11,6,0,116,9.5,907,15:07,32,124,176,152,53.7
239,Chris Kunitz\kunitch01,37,LW,PIT,68,9,19,28,1,36,9,0,0,3,15,4,0,126,7.1,1049,15:26,27,207,3,10,23.1
240,Jean-Gabriel Pageau\pageaje01,24,C,OTT,73,9,19,28,12,18,9,0,0,2,17,0,2,153,5.9,1188,16:16,73,149,497,402,55.3
241,Jeff Petry\petryje01,29,D,MTL,72,8,20,28,2,22,6,2,0,1,15,5,0,154,5.2,1594,22:08,137,150,0,0,
242,Ivan Provorov\provoiv01,20,D,PHI,73,6,22,28,-10,32,6,0,0,1,17,5,0,138,4.3,1593,21:50,149,99,0,0,
243,Josh Anderson\anderjo05,22,RW,CBJ,69,16,11,27,12,76,16,0,0,3,11,0,0,105,15.2,832,12:03,39,125,8,20,28.6
244,Dylan Larkin\larkidy01,20,C,DET,71,15,12,27,-28,29,10,5,0,1,12,0,0,163,9.2,1134,15:58,17,54,148,183,44.7
245,Alexandre Burrows\burroal01,35,LW/RW,TOT,67,13,14,27,2,53,12,1,0,2,13,0,1,129,10.1,986,14:43,30,64,5,8,38.5
246,P.A. Parenteau\parenpi01,33,RW,TOT,63,13,14,27,-17,35,9,4,0,2,10,4,0,113,11.5,933,14:48,8,58,6,13,31.6
247,Jay Beagle\beaglja01,31,RW,WSH,72,12,15,27,19,18,11,0,1,4,13,0,2,90,13.3,979,13:36,41,50,555,422,56.8
248,Sean Couturier\coutuse01,24,C,PHI,57,12,15,27,4,31,12,0,0,2,12,2,1,107,11.2,1041,18:16,31,35,509,417,55.0
249,Antoine Roussel\roussan01,27,LW,DAL,60,12,15,27,1,115,12,0,0,3,12,3,0,82,14.6,931,15:31,45,69,7,9,43.8
250,Matt Cullen\cullema01,40,C,PIT,65,11,16,27,5,26,9,1,1,2,14,2,0,83,13.3,899,13:50,24,32,396,379,51.1
251,Jussi Jokinen\jokinju01,33,LW,FLA,63,11,16,27,-14,35,6,4,1,2,10,6,0,110,10.0,1101,17:29,28,25,61,65,48.4
252,Travis Konecny\konectr01,19,C,PHI,61,11,16,27,0,47,8,3,0,0,15,1,0,122,9.0,886,14:31,25,82,0,5,0.0
